targets,copolymer,A2245273601,A4071909377,A1459140616,A3341916169,A3001458698,A1508020232,A370718733,A1040949262,A2966050835,A2239639576,A2458968089,A27979804,A1730555933,A1063794729,A4109680682,A1995458611,A1446633534,A1110612033,A2312669254,A2439737417,A2245384272,A2620926036,A589930590,A910450790,A3957411950,A2245277810,A451448947,A4078616692,A1026928756,A2720313463,A422735999,A65036417,A881932415,A2889224323,A2533439618,A3068360839,A478150792,A4240709783,A2599598242,A174348455,A1366143150,A1992087727,A1538830519,A668520641,A269959362,A3157481675,A3353919692,A3130706129,A4234240219,A997097697,A471486690,A977565923,A3631032570,A3754877180,A1751929091,A763762952,A208285974,A1429883190,A10565946,A2223687999,A3162837314,A507384136,A3982076256,A231600494,A3806466426,A2041434490,A3880022399,A2763854213,A3537123720,A1982474688,A95060427,A2784256475,A1186671090,A1490397683,A3599491590,A390738481,A3454931564,A720822897,A2084364935,A1549284008,A864674487,A3138468577,A3431531268,A644322065,A4268956439,A864662311,A994485099,A4256002933,A3975295864,A4216335232,A4158944142,A2968968094,A64070612,A2592785365,A1323467736,A1348563946,A2976033787,A3692055567,A2246728737,A2654741547,A98513984,A1422193787,A1543552144,A847957139,A628810978,A3372254436,A1466170618,A3322645827,A3983062349,A2929966416,A3217380708,A3124581743,A1100037548,A1083852209,A1050207714,A2295371384,A422715066,A951226070,A4121755354,A1323888424,A2360741695,A1101907775,G1459140616,G3341916169,G670646308,G3346153511,G1063794729,G3974328374,G68675643,G922200166,G3221123175,G1026928756,G2889224323,G199889041,G4290259127,G668520641,G1824088295,G1333309687,G2960894223,G2863872304,G10565946,G2223687999,G275607895,G2471530844,G3559852389,G2346998278,G617798156,G3319978521,G3454931564,G2434951923,G229241619,G2793650987,G994485099,G2968968094,G2976033787,G3999906991,G1755989257,G2117068077,G3933537673,G4195680018
565.0,1,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.05,0,0,0,0.0,0,0,0.1,0,0,0.1,0,1.9,1.9,0,0,0,0.0,0.0,0,0,0,1.9,0,0,0.0,0,0.1,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.05,0.0,0.0,1.9,0,0.0,1.9,0.0,2.0,5.7,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,4.0,2.0,0,0.05,0,0.0,0,2.0,7.8,0,0.0,2.0,0,1.9,0,11.8,0,0,1.9,0.0,0.0,0,4,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,0.0,0,0,2.0,0,0,0.0,0.0,0,0.0,0.0
511.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,3.0,0,0,3.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,3,3.0,0,0.0,0.0,0,0,0,0.0,0.0,3,0,0,0.0,0,0,0.0,0,3.0,3,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,3.0,0.0,3.0,3.0,0.0,0.0,0,0.0,6.0,0.0,3.0,6.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,3.0,0.0,0.0,3.0,3.0,0,0.0,0,0.0,0,0.0,18.0,0,0.0,3.0,0,0.0,0,18.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,4.0,0,0,0,0,0,4.0,0.0,0,0.0,0.0,0,8.0,0,0,0,0,0,0,0,0.0,0.0,0,0,4.0,0,0,0.0,0.0,0,4.0,4.0
544.0,1,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.9,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,1.8,0,0.0,0.0,0.1,0,0,0,0.0,0,0,0.2,0,0,0.2,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0.2,0,0.0,0,0.0,1.8,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.1,0.0,0.0,1.8,0,0.0,1.8,0.0,2.0,5.4,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,4.0,2.0,0,0.1,0,0.0,0,2.0,11.2,0,0.0,2.0,0,1.8,0,11.6,0,0,0.0,1.8,0.0,0,4,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,0.0,0,0,2.0,0,0,0.0,0.0,0,0.0,0.0
510.0,0,0.0,0.0,0,0,0,0,0,0.0,0,6.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,4.0,0,0,4.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,2.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,2,8.0,4,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,4.0,0.0,6.0,0.0,0.0,0.0,0,0.0,10.0,0.0,4.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,4.0,4.0,0,2.0,0,0.0,0,0.0,22.0,0,0.0,4.0,0,0.0,0,16.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,3,0,6.0,12.0,0,0.0,0.0,0,12.0,0,0,0,0,0,0,0,12.0,6.0,0,0,6.0,0,0,0.0,0.0,0,0.0,6.0
537.0,1,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,1.85,0,0,0,0.0,0,1.85,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,1.85,0,0.0,0.0,0,0.0,0,0.0,0.075,0,0.0,0,0,0,0.0,0,1.85,1.85,0.0,0.0,0.0,0.0,0,0.0,1.85,0.0,1.85,0.0,0,0.45,0.0,0.0,0,0,0.15,0.0,0,0.0,0.0,0.0,1.85,2.0,0,0.0,0,0.0,0,0.0,5.55,0,0.0,1.85,0,0.0,0,3.7,0,0,0.0,0.0,0.0,0,0,0,0,1.6,0.4,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,0.0,0,0,2.0,0,0,0.0,0.0,0,0.4,2.0
511.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,1.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,2,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,4,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,4.0,2.0,0,0.0,0,0.0,0,2.0,4.0,0,0.0,2.0,0,0.0,0,8.0,2,0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,0.0,0,0,2.0,0,0,0.0,0.0,0,0.0,2.0
511.0,1,0.0,0.0,0,0,0,0,0,0.0,0,2.1,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,2.0,0,0,2.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.7,0,0,0.0,0,0,0.6,0,0.0,0.0,0,0,0,0.0,0.7,0,0,0,0.0,0,0,0.0,0,2.7,2,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.6,0,2.0,0.0,2.7,0.6,0.0,0.0,0,0.0,4.1,0.0,2.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.6,0.0,0.0,2.0,2.0,0,0.0,0,0.0,0,0.0,12.9,0,0.0,2.0,0,0.0,0,5.2,0,0,0.0,0.0,0.0,0,0,0,0,0.0,2.0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,0.0,0,0,2.0,0,0,0.0,0.0,0,2.0,2.0
569.0,1,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.4186,0,0,0,0.0,0,0,0.8372,0,0,0.8372,0,1.1628,1.1628,0,0,0,0.0,0.0,0,0,0,1.1628,0,0,0.0,0,0.8372,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.4186,0.0,0.0,1.1628,0,0.0,1.1628,0.0,2.0,3.4884,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,4.0,2.0,0,0.4186,0,0.0,0,2.0,6.3256,0,0.0,2.0,0,1.1628,0,10.3256,0,0,1.1628,0.0,0.0,0,4,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,0.0,0,0,2.0,0,0,0.0,0.0,0,0.0,0.0
387.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,2.0,0,0,2.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,4.0,0,0.0,0,2.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0,0,0.0,1.0,0,0.0,1.0,0.0,4.0,2.0,0,2.0,0,1.0,0,2.0,6.0,0,0.0,2.0,0,0.0,0,10.0,0,0,0.0,0.0,0.0,0,0,2,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0,4.0,0,0,0,0,0,2,0,0.0,0.0,0,0,0.0,4,2,0.0,0.0,4,0.0,2.0
564.0,1,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.8,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.2,0,0,0,0.0,0,0,0.4,0,0,0.4,0,0.0,0.0,0,0,0,0.8,0.0,0,0,0,0.0,0,0,0.0,0,0.4,0,0.0,0,0.0,0.8,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,1.6,0,0.0,0.8,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,3.2,2.0,0,0.2,0,0.0,0,1.2,4.0,0,0.8,2.0,0,0.8,0,6.4,0,0,0.0,0.0,0.0,0,4,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,0.0,0,0,2.0,0,0,0.0,0.0,0,0.0,0.0
509.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,2.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,2,2.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,2.0,0,0.0,0,0.0,2.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,2,0.0,0.0,2.0,0.0,2.0,0.0,0,0.0,0.0,0.0,2.0,4.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,2.0,2.0,0,0.0,0,0.0,0,0.0,8.0,0,2.0,2.0,0,0.0,0,12.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,2.0,0,0,2.0,0,0,0.0,1.0,0,0.0,2.0
535.0,1,0.0,0.5,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.75,0,0,0,0.0,0,0,1.5,0,0,1.5,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.5,0,1.5,0,1.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.5,0.5,0.75,0.0,0.0,0.0,0,0.0,0.5,0.0,2.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,3.5,2.0,0,0.75,0,0.0,0,1.5,5.0,0,0.0,2.0,0,0.0,0,7.0,0,0,0.0,0.0,0.0,0,4,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,0.0,0,0,2.0,0,0,0.0,0.0,0,0.0,0.0
443.8,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,3.0,0,0,0,0.0,0,0,3.0,0,3,6.0,0,0.0,0.0,0,0,0,0.0,0.0,3,0,0,0.0,0,0,0.0,0,6.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,3.0,0.0,0.0,0.0,0,0.0,3.0,0.0,3.0,6.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,6.0,3.0,0,3.0,0,0.0,0,3.0,15.0,0,0.0,3.0,0,0.0,0,24.0,0,0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0,0,0,0,0,2.0,2.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,2.0,0,0,2.0,0,0,0.0,0.0,0,2.0,2.0
525.0,1,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,2.0,0,0,0,0.0,0,0,2.0,0,2,4.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,4.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,2,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,4.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,4.0,2.0,0,2.0,0,0.0,0,2.0,8.0,0,0.0,2.0,0,0.0,0,16.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,2.0,1.84,0,0.0,0.0,0,3.84,0,0,0,0,0,0,0,1.84,1.84,0,0,1.84,0,0,0.16,0.0,0,0.0,1.92
498.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,1.0,0,0,0,0.0,0,0,2.0,0,0,2.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,2.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,4.0,2.0,0,1.0,0,0.0,0,2.0,4.0,0,0.0,2.0,0,0.0,0,8.0,0,0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,0.0,0,0,2.0,0,0,0.0,0.0,0,0.0,2.0
576.4,1,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,1.6,0,0,0,0.0,0,1.6,0.0,0.2,0,0,0,0.0,0,0,0.4,0,0,0.4,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0.4,0,1.6,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,1.6,1.6,0.2,0.0,0.0,0.0,0,0.0,1.6,0.0,2.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,2.4,2.0,0,0.2,0,0.0,0,0.4,5.6,0,0.0,2.0,0,0.0,0,4.8,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,2.0,0,0,2.0,0,0,0.0,1.0,0,0.0,2.0
428.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,2,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,2,0,0.0,0,0,0.0,0,2.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,2.0,0.0,0.0,0,0,4.0,0.0,0,0.0,0.0,0.0,4.0,2.0,0,0.0,0,0.0,0,2.0,4.0,0,0.0,2.0,0,0.0,0,8.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,2.0,0,0,2.0,0,0,0.0,1.0,0,0.0,2.0
490.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,1.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,2,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,4,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,4.0,2.0,0,0.0,0,0.0,0,2.0,4.0,0,0.0,2.0,0,0.0,0,8.0,2,0,0.0,0.0,0.0,0,0,0,0,0.0,2.0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,0.0,0,0,2.0,0,0,0.0,0.0,0,2.0,2.0
442.0,0,3.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,1.0,0,0,0,0.0,1,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0,1,0.0,0.0,4,0.0,0.0,0.0,0.0,2.0,0,0.0,2,0.0,0,0.0,8.0,0,0.0,2.0,1,0.0,0,8.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,2.0,0,0,2.0,0,0,0.0,1.0,0,0.0,2.0
371.0,0,1.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,1.0,1.0,1.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,1.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,1.0,0,0.0,0,0.0,1.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,2.0,0,0.0,0,0.0,0,0.0,4.0,0,1.0,1.0,0,0.0,0,6.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,2.0,0,0,2.0,0,0,0.0,1.0,0,0.0,2.0
430.0,1,0.0,0.0,0,0,0,0,0,0.5,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.5,0,0.0,0,0,1.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,1,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,2,0.0,0,0.0,0,0.0,0,0.0,0.5,0,0.0,3,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,2.0,0.0,2.0,2.0,0,0.0,1.0,0.0,0,0,0.0,0.0,3,0.0,0.0,0.0,4.0,2.0,0,0.0,0,0.0,0,2.0,7.5,0,0.0,2.0,0,1.0,0,8.0,1,0,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,2.0,0,0,2.0,0,0,0.0,1.0,0,0.0,2.0
555.0,1,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,1.95,0,0,0,0.0,0,1.95,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,1.95,0,0.0,0.0,0,0.0,0,0.0,0.025,0,0.0,0,0,0,0.0,0,1.95,1.95,0.0,0.0,0.0,0.0,0,0.0,1.95,0.0,1.95,0.0,0,0.15,0.0,0.0,0,0,0.05,0.0,0,0.0,0.0,0.0,1.95,2.0,0,0.0,0,0.0,0,0.0,5.85,0,0.0,1.95,0,0.0,0,3.9,0,0,0.0,0.0,0.0,0,0,0,0,1.6,0.4,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,0.0,0,0,2.0,0,0,0.0,0.0,0,0.4,2.0
438.0,1,0.0,0.0,0,0,0,0,0,0.5,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,1.0,0,0,0,0.0,0,0.0,0.0,0.5,0,0,0,0.0,0,0,1.0,0,0,1.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,1.0,0,0.0,0,0.0,0.5,0,0.0,3,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.5,0.0,0.0,0.0,0,0.5,2.0,0.0,2.0,2.0,0,0.0,1.0,0.0,0,0,0.0,0.0,3,0.0,0.0,0.0,4.0,2.0,0,0.5,0,0.0,0,2.0,7.5,0,0.0,2.0,0,1.0,0,8.0,0,0,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,2.0,0,0,2.0,0,0,0.0,1.0,0,0.0,2.0
465.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,2,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,2.0,0,0,2.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,2.0,0,0.0,0,0.0,2.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,2.0,0.0,2.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,4.0,2.0,0,0.0,0,0.0,0,2.0,6.0,0,0.0,2.0,0,0.0,0,10.0,0,0,0.0,0.0,0.0,0,4,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,0.0,0,0,2.0,0,0,0.0,0.0,0,0.0,0.0
375.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,2.0,0,0,0,0.0,0,2.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,2.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,2.0,2.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,2.0,2.0,0,0.0,0,0.0,0,0.0,6.0,0,0.0,2.0,0,0.0,0,4.0,0,0,0.0,0.0,0.0,0,0,2,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0,4.0,0,0,0,0,0,2,0,0.0,0.0,0,0,0.0,4,2,0.0,0.0,4,0.0,2.0
535.0,1,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,1.8,0,0,0,0.0,0,1.8,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,1.8,0,0.0,0.0,0,0.0,0,0.0,0.1,0,0.0,0,0,0,0.0,0,1.8,1.8,0.0,0.0,0.0,0.0,0,0.0,1.8,0.0,1.8,0.0,0,0.6,0.0,0.0,0,0,0.2,0.0,0,0.0,0.0,0.0,1.8,2.0,0,0.0,0,0.0,0,0.0,5.4,0,0.0,1.8,0,0.0,0,3.6,0,0,0.0,0.0,0.0,0,0,0,0,1.6,0.4,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,0.0,0,0,2.0,0,0,0.0,0.0,0,0.4,2.0
